# re(Delta) im(Delta) re(|Delta|^2) im(|Delta|^2)
1.4263646906683896 0.29305932712416743 2.1204000000000005 0.0
1.4277472632936226 0.2765528921518833 2.11494375 0.0
1.4290228694688094 0.25936198359653767 2.109375000000001 0.0
1.4301596486190231 0.24153080437474725 2.10369375 0.0
1.4311267534509176 0.22310583936113595 2.0979000000000005 0.0
1.4318946692334196 0.2041357543913261 2.09199375 0.0
1.4324355206768282 0.18467127308627224 2.0859750000000004 0.0
1.4327233628195724 0.16476503157823355 2.07984375 0.0
1.4327344524407848 0.14447141166751343 2.0735999999999994 0.0
1.4324474966828422 0.12384635338619703 2.06724375 0.0
1.4318438757911018 0.10294714837971984 2.0607750000000005 0.0
1.4309078371566217 0.08183221592844046 2.0541937499999996 0.0
1.429626658178521 0.060560863809185475 2.0475000000000008 0.0
1.4279907758411643 0.0391930365313807 2.0406937500000004 0.0
1.4259938813214232 0.01778905376525056 2.0337750000000003 0.0
1.423632978395468 -0.003590657996649797 2.02674375 0.0
1.4209084048944405 -0.02488583734449164 2.0195999999999996 0.0
1.4178238169546293 -0.046036660133045054 2.01234375 0.0
1.414386136310569 -0.0669840086323644 2.004975 0.0
1.4106054613787158 -0.08766973439300815 1.9974937500000003 0.0
1.406494943364979 -0.10803691169570093 1.9899 0.0
1.4020706290917428 -0.1280300786467156 1.9821937499999998 0.0
1.3973512726701278 -0.1475954632337129 1.9743750000000002 0.0
1.3923581185330558 -0.16668119196564782 1.9664437500000003 0.0
1.387114658687357 -0.185237479076608 1.9584 0.0
1.3816463673331625 -0.2032167946678528 1.9502437500000003 0.0
1.3759804162321878 -0.22057401058487233 1.9419750000000002 0.0
1.370145374380797 -0.23726652326635916 1.93359375 0.0
1.3641708956580754 -0.25325435324875417 1.9251000000000003 0.0
1.3580873981742954 -0.26850022145274477 1.9164937499999999 0.0
1.351925739043248 -0.2829696028063225 1.907775 0.0
1.3457168882464245 -0.2966307581630061 1.8989437499999997 0.0
1.339491605152567 -0.30945474584468663 1.89 0.0
1.3332801211081244 -0.3214154144684186 1.8809437500000001 0.0
1.327111831328847 -0.3324893789987801 1.8717750000000004 0.0
1.3210149991066316 -0.34265598219687665 1.86249375 0.0
1.3150164751055553 -0.3518972438098371 1.8530999999999995 0.0
1.3091414342633771 -0.3601977999583382 1.8435937499999993 0.0
1.3034131325459748 -0.367544835233321 1.833975 0.0
1.2978526855279784 -0.37392801000702514 1.8242437499999995 0.0
1.2924788704983654 -0.3793393853994986 1.8143999999999998 0.0
1.2873079535192549 -0.38377334822270853 1.8044437500000003 0.0
1.2823535426030033 -0.3872265380543123 1.7943750000000003 0.0
1.277626467919347 -0.3896977783769548 1.7841937500000002 0.0
1.2731346897022944 -0.39118801346237914 1.7738999999999998 0.0
1.2688832342963299 -0.3917002523891012 1.7634937500000003 0.0
1.2648741585630154 -0.39123952126479095 1.7529749999999993 0.0
1.2611065426613663 -0.38981282438716075 1.74234375 0.0
1.2575765110168755 -0.38742911472761377 1.7316 0.0
1.2542772811029557 -0.3840992737678333 1.7207437499999998 0.0
1.2511992394726013 -0.379836100368546 1.709775 0.0
1.2483300442951706 -0.37465430800941996 1.69869375 0.0
1.2456547534712243 -0.3685705294167503 1.6875000000000004 0.0
1.2431559772156027 -0.3616033272981876 1.6761937500000004 0.0
1.2408140538141001 -0.353773209637783 1.6647749999999992 0.0
1.2386072470714944 -0.3451026477759537 1.65324375 0.0
1.236511963778325 -0.3356160953128889 1.6416000000000002 0.0
1.2345029893315131 -0.32534000573485905 1.62984375 0.0
1.2325537394512178 -0.31430284657447655 1.6179749999999995 0.0
1.2306365257457519 -0.3025351078807635 1.6059937499999999 0.0
1.2287228326910495 -0.2900693027944929 1.5939 0.0
1.2267836034150792 -0.27693995809906824 1.5816937500000001 0.0
1.2247895315151422 -0.26318359274642944 1.5693750000000002 0.0
1.2227113559921665 -0.24883868253910565 1.5569437500000003 0.0
1.2205201562660366 -0.2339456093803219 1.5444000000000007 0.0
1.2181876441449235 -0.21854659377954375 1.53174375 0.0
1.2156864495645425 -0.2026856096153762 1.5189749999999997 0.0
1.2129903968949318 -0.18640828050458558 1.5060937500000005 0.0
1.2100747686367754 -0.16976175749754147 1.4930999999999999 0.0
1.2069165533997026 -0.15279457820807152 1.4799937499999998 0.0
1.2034946751736113 -0.13555650788052828 1.466775 0.0
1.1997902010719974 -0.11809836328932018 1.4534437500000001 0.0
1.1957865249432515 -0.10047182074662898 1.4400000000000002 0.0
1.1914695245104197 -0.08272920985307587 1.4264437499999998 0.0
1.1868276900090602 -0.06492329495456776 1.4127749999999997 0.0
1.181852222642314 -0.047107046558048836 1.39899375 0.0
1.176537101556625 -0.029333405201849638 1.3851000000000002 0.0
1.1708791184540475 -0.011655040466381284 1.3710937500000002 0.0
1.1648778793901682 0.00587589205694897 1.3569750000000003 0.0
1.158535773752036 0.023207992950081642 1.3427437500000001 0.0
1.1518579108593041 0.04029085741008722 1.3284000000000007 0.0
1.144852025075046 0.05707530710882108 1.31394375 0.0
1.1375283507414495 0.07351361274918569 1.2993749999999995 0.0
1.1298994686611799 0.08955970477387762 1.2846937500000006 0.0
1.1219801262196847 0.1051693699137771 1.2699000000000003 0.0
1.1137870335799038 0.12030043154235921 1.2549937499999997 0.0
1.1053386386726374 0.13491291212230413 1.2399749999999996 0.0
1.0966548839484203 0.14896917638248963 1.2248437500000005 0.0
1.087756948046576 0.16243405423863283 1.2096000000000007 0.0
1.0786669756721052 0.1752749428594799 1.19424375 0.0
1.0694077990505437 0.1874618876728586 1.1787749999999995 0.0
1.0600026543556276 0.1989676424925009 1.1631937499999996 0.0
1.050474896476565 0.20976770931806954 1.1474999999999997 0.0
1.0408477154141507 0.21984035870863972 1.1316937500000002 0.0
1.0311438574720857 0.22916663194624803 1.1157750000000002 0.0
1.021385354246719 0.2377303264842414 1.0997437499999998 0.0
1.011593262220622 0.24551796640946577 1.0836 0.0
1.001787415538919 0.2525187598335083 1.0673437499999998 0.0
0.9919861942982516 0.25872454526324223 1.0509750000000002 0.0
0.9822063104126537 0.26412972908319504 1.0344937500000002 0.0
0.9724626128442061 0.26873121631142843 1.0179 0.0
0.9627679137043637 0.27252833676766036 1.0011937500000003 0.0
0.9531328364489318 0.275522768719418 0.984375 0.0
0.9435656871097159 0.2777184619523335 0.9674437499999999 0.0
0.9340723492319023 0.2791215620485012 0.9504000000000001 0.0
0.9246562029205009 0.27974033745715216 0.9332437499999998 0.0
0.9153180681429729 0.2795851107105242 0.915975 0.0
0.9060561721889903 0.27866819488099936 0.8985937499999997 0.0
0.8968661409518355 0.2770038361000839 0.8810999999999998 0.0
0.8877410134682264 0.27460816267257315 0.8634937500000002 0.0
0.8786712789327761 0.27149914102744316 0.8457749999999998 0.0
0.8696449351877639 0.2676965384577657 0.82794375 0.0
0.8606475674759373 0.2632218923223363 0.8099999999999996 0.0
0.8516624460309836 0.25809848511861055 0.7919437499999997 0.0
0.8426706408641407 0.25235132459652065 0.7737750000000001 0.0
0.8336511518831804 0.2460071278720322 0.75549375 0.0
0.8245810522484948 0.23909430832365144 0.7371000000000001 0.0
0.8154356426269751 0.23164296391976236 0.7185937500000003 0.0
0.8061886137442364 0.2236848655344083 0.699975 0.0
0.7968122143554263 0.21525344376804345 0.68124375 0.0
0.7872774214495327 0.2063837728014836 0.6623999999999995 0.0
0.7775541091655719 0.1971125498788297 0.6434437500000002 0.0
0.7676112125230516 0.18747806914114157 0.6243750000000002 0.0
0.7574168816424632 0.1775201887194995 0.6051937499999999 0.0
0.74693862163847 0.1672802902461095 0.5859000000000002 0.0
0.7361434127869088 0.15680123025806486 0.5664937499999998 0.0
0.7249978048653635 0.1461272833539475 0.5469750000000005 0.0
0.7134679787015002 0.13530407742413286 0.5273437500000002 0.0
0.701519766870362 0.12437852182009769 0.5075999999999995 0.0
0.6891186240708324 0.11339872996961987 0.4877437499999999 0.0
0.6762295358522805 0.10241393870469576 0.4677749999999999 0.0
0.6628168518657284 0.09147442748006328 0.4476937500000003 0.0
0.6488440264020101 0.08063144177321632 0.4275 0.0
0.6342732442393078 0.06993712635033995 0.40719374999999997 0.0
0.6190649031301443 0.05944447587846652 0.3867750000000005 0.0
0.6031769146540942 0.04920731275295631 0.36624374999999965 0.0
0.5865637711418225 0.03928030529265425 0.3456000000000004 0.0
0.5691753055225641 0.0297190441181335 0.32484374999999976 0.0
0.5509550392832482 0.020580201369136464 0.3039749999999998 0.0
0.5318379645147967 0.011921807780617391 0.28299375000000015 0.0
0.5117475274732518 0.0038036988594018135 0.2618999999999996 0.0
0.4905914518189651 -0.0037117923110253823 0.24069375000000012 0.0
0.4682558192847422 -0.010558773885965697 0.21937500000000007 0.0
0.4445964337469932 -0.016666166309482023 0.19794374999999984 0.0
0.4194257631763676 -0.021955163035643148 0.17640000000000008 0.0
0.3924923049395519 -0.026335158310467646 0.1547437499999996 0.0
0.36344613397010667 -0.02969693085460009 0.13297499999999962 0.0
0.3317771946908064 -0.031900518539654615 0.1110937500000001 0.0
0.29669399227198007 -0.03275171674452998 0.0890999999999997 0.0
0.25685193487156477 -0.03195048595457407 0.06699374999999999 0.0
0.20961083070670442 -0.02895340481610662 0.044775000000000044 0.0
0.14812070066678198 -0.022450123250908297 0.022443749999999405 0.0
0.001 0.001 2e-06 0.0
0.001 0.001 2e-06 0.0
