# re(delta_k) im(delta_k) re(|delta_k|^2) im(|delta_k|^2)
4.616018725203938e-05 -2.5563481031851357e-08 2.1307635406349015e-09 0.0
-4.536796239189487e-05 -8.383695816540026e-06 2.128538367136658e-09 0.0
-4.149710038632119e-05 -2.010896774661086e-05 2.126379924306654e-09 0.0
4.602848391787143e-05 2.379717677523212e-06 2.1242843880024655e-09 0.0
-2.8568471532608642e-05 3.613987667771807e-05 2.1222482519901408e-09 0.0
-1.3226280776859265e-05 4.4105938268610334e-05 2.1202682937427824e-09 0.0
4.48397250303089e-05 -1.0379817142792176e-05 2.1183415447115126e-09 0.0
-1.4123595623797861e-06 -4.5983372047426914e-05 2.1164652643855286e-09 0.0
2.4975171771368007e-05 -3.861188563858707e-05 2.114636917576664e-09 0.0
3.978657217597607e-05 2.301918393308979e-05 2.112854154459572e-09 0.0
2.2582667890456206e-05 4.0014221271013394e-05 2.1111147929762626e-09 0.0
4.5644593139541015e-05 5.097834874019041e-06 2.1094168032769994e-09 0.0
2.7195835161357253e-05 -3.6988442029878736e-05 2.1077582939214153e-09 0.0
3.742870824485741e-05 -2.6556153688509474e-05 2.1061374996063923e-09 0.0
3.2728327073344986e-05 3.2146685322171774e-05 2.104552770222581e-09 0.0
5.2483272211623565e-06 4.555719067776641e-05 2.10300256107076e-09 0.0
4.392015978871571e-05 1.3134115433763342e-05 2.101485424093741e-09 0.0
-3.5595238343884174e-06 -4.5687304473698395e-05 2.1000000000000006e-09 0.0
-2.201124983441062e-05 -4.017523978646127e-05 2.098545011172502e-09 0.0
4.563276537982299e-05 -3.843173045899194e-06 2.0971192552706973e-09 0.0
-3.633503516578942e-05 2.7847563967910755e-05 2.095721599446035e-09 0.0
-4.267731386045001e-05 1.6522646784290282e-05 2.0943509751017765e-09 0.0
4.574933245826363e-05 7.037584902114331e-08 2.0930063731368593e-09 0.0
-4.5316314698134926e-05 6.174015047015545e-06 2.091686839621174e-09 0.0
-4.209223645088274e-05 1.7850353005449436e-05 2.0903914718561796e-09 0.0
4.566106162512574e-05 -2.0461832877077143e-06 2.089119414780425e-09 0.0
-2.98413802618524e-05 -3.46029172433758e-05 2.0878698576843885e-09 0.0
-1.5422320637821818e-05 -4.299760525131011e-05 2.086642031203276e-09 0.0
4.463563068518879e-05 9.648610153565024e-06 2.085435204560045e-09 0.0
-3.1011258133356417e-06 4.5548125117549925e-05 2.0842486830341188e-09 0.0
2.2649060880721074e-05 3.962451068285094e-05 2.083081805633978e-09 0.0
3.9987904725911215e-05 -2.1975018056550493e-05 2.0819339429542725e-09 0.0
2.117477581774072e-05 -4.0403383079497356e-05 2.0808044952001905e-09 0.0
4.497052610442802e-05 -7.572626509647989e-06 2.0796928903636655e-09 0.0
2.806099117168479e-05 3.593298424846292e-05 2.078598582537656e-09 0.0
3.652290105452142e-05 2.7269007112797143e-05 2.0775210503561434e-09 0.0
3.422191518040059e-05 -3.0088541289571488e-05 2.0764597955487807e-09 0.0
6.8128464881233435e-06 -4.5044416572195756e-05 2.0754143416002382e-09 0.0
4.340857032416051e-05 -1.3786959596578578e-05 2.0743842325052787e-09 0.0
-1.0937596694121693e-06 4.5521123903052504e-05 2.073369031611491e-09 0.0
-2.02142683977389e-05 4.0789112195370845e-05 2.072368320542376e-09 0.0
4.531436570455231e-05 4.241457177468139e-06 2.0713816981942023e-09 0.0
-3.465203651357417e-05 -2.9489746442832663e-05 2.0704087798006396e-09 0.0
-4.1623013147577385e-05 -1.83568508349436e-05 2.0694491960597693e-09 0.0
4.548058695820412e-05 -1.371213177251623e-07 2.068502592318541e-09 0.0
-4.5295258322556535e-05 -3.988508656512883e-06 2.067568627810205e-09 0.0
-4.268628709631372e-05 -1.5637386893970762e-05 2.0666469749406477e-09 0.0
4.541687973417284e-05 1.74480767754071e-06 2.0657373186199244e-09 0.0
-3.112946903672023e-05 3.310280219448908e-05 2.0648393556355946e-09 0.0
-1.757760674479054e-05 4.1892487813333e-05 2.0639527940647596e-09 0.0
4.45267611807894e-05 -8.969107618427723e-06 2.063077352721992e-09 0.0
-4.787384444325662e-06 -4.515853973306451e-05 2.0622127606405376e-09 0.0
2.033829511395329e-05 -4.0592025182813666e-05 2.061358756584435e-09 0.0
4.0243867487071964e-05 2.0998719443631515e-05 2.060515088589356e-09 0.0
1.9791204731998997e-05 4.084102996725566e-05 2.059681513530174e-09 0.0
4.425696013559632e-05 1.0008959799581723e-05 2.058857796713405e-09 0.0
2.8932404934353413e-05 -3.494223313137621e-05 2.058043711492843e-09 0.0
3.5662937357750405e-05 -2.8024880694197082e-05 2.0572390389068098e-09 0.0
3.565882758256742e-05 2.8015916597040125e-05 2.0564435673355792e-09 0.0
8.346290827793059e-06 4.456452088372048e-05 2.0556570921776617e-09 0.0
4.295842635227838e-05 1.4472491868353894e-05 2.054879415543695e-09 0.0
1.351883824144337e-06 -4.530212750073492e-05 2.0541103459668263e-09 0.0
-1.844945049008318e-05 -4.138801124410892e-05 2.053349698128517e-09 0.0
4.5064922671732584e-05 -4.66369351368275e-06 2.052597292598804e-09 0.0
-3.294384699939971e-05 3.108948215185092e-05 2.051852955590114e-09 0.0
-4.055997405423233e-05 2.014956633388883e-05 2.0511165187237857e-09 0.0
4.528064592171409e-05 2.256628478080426e-07 2.050387818808524e-09 0.0
-4.523703739656835e-05 1.8102887094462554e-06 2.0496666976300723e-09 0.0
-4.322446730880709e-05 1.3438691440064915e-05 2.048953001751407e-09 0.0
4.523365252631913e-05 -1.4708029953335829e-06 2.0482465823228595e-09 0.0
-3.239826211880555e-05 -3.1589553757258295e-05 2.0475472949015424e-09 0.0
-1.9679475370617896e-05 -4.0737860135466466e-05 2.046854999279584e-09 0.0
4.4461632791941296e-05 8.326630098376342e-06 2.0461695593206166e-09 0.0
-6.473115706899296e-06 4.476147468358447e-05 2.0454908428040804e-09 0.0
1.8015791737851044e-05 4.147589624511153e-05 2.0448187212768787e-09 0.0
4.051635914691379e-05 -2.006433929613147e-05 2.0441530699119905e-09 0.0
1.840624027174331e-05 -4.128806227509941e-05 2.0434937673736325e-09 0.0
4.3462668102412726e-05 -1.2403111589764238e-05 2.042840695688629e-09 0.0
2.97894505881974e-05 3.398208901431725e-05 2.0421937401236354e-09 0.0
3.4813724748914556e-05 2.8802037396245503e-05 2.0415527890679102e-09 0.0
3.701299942556052e-05 -2.590281080201127e-05 2.040917733921335e-09 0.0
9.848000691923486e-06 -4.4082937190700726e-05 2.0402884689873905e-09 0.0
4.253435439021715e-05 -1.518201528053068e-05 2.0396648913708517e-09 0.0
3.7800314433111474e-06 4.499731395502973e-05 2.0390469008799342e-09 0.0
-1.670010511925156e-05 4.194688175465035e-05 2.0384343999326705e-09 0.0
4.4852367240465235e-05 5.108076584561026e-06 2.0378272934672995e-09 0.0
-3.11865347810073e-05 -3.262859998849911e-05 2.037225488856462e-09 0.0
-3.946308494649229e-05 -2.1892780141657306e-05 2.0366288958250105e-09 0.0
4.512122117482448e-05 -3.358959121898566e-07 2.0360374263712545e-09 0.0
-4.5114497997836553e-05 3.647808858324585e-07 2.035450994691467e-09 0.0
-4.36855185938564e-05 -1.1244775777814388e-05 2.0348695171074945e-09 0.0
4.508657596318903e-05 1.2221210712955156e-06 2.0342929119973194e-09 0.0
-3.363192004749829e-05 3.0043552613615956e-05 2.0337210997284273e-09 0.0
-2.1720240651966218e-05 3.9514366357244334e-05 2.0331540025938488e-09 0.0
4.441925621831588e-05 -7.714999790172282e-06 2.0325915447507524e-09 0.0
-8.157904320404395e-06 -4.43337597013898e-05 2.032033652161447e-09 0.0
1.567363783608091e-05 -4.225893194959008e-05 2.031480252536712e-09 0.0
4.078956920643068e-05 1.9160958202426275e-05 2.0309312752813247e-09 0.0
1.700884587917252e-05 4.172632039013552e-05 2.030386651441683e-09 0.0
4.257095697409672e-05 1.4749913083304894e-05 2.029846313655443e-09 0.0
3.0623340639218325e-05 -3.3038177979384205e-05 2.0293101961030677e-09 0.0
3.395898686723199e-05 -2.9589955143804422e-05 2.028778234461193e-09 0.0
3.827058040798484e-05 2.374053582153787e-05 2.028250365857756e-09 0.0
1.1317252783732364e-05 4.3584932238766646e-05 2.027726528828778e-09 0.0
4.2119356049155465e-05 1.591120703407558e-05 2.0272066632767454e-09 0.0
6.188509497911836e-06 -4.4591401196024e-05 2.026690710430516e-09 0.0
-1.495986432807876e-05 -4.245445880107476e-05 2.0261786128066775e-09 0.0
4.466099377554014e-05 -5.573683625168683e-06 2.0256703141723086e-09 0.0
-2.9370447104721263e-05 3.409607890033456e-05 2.0251657595090696e-09 0.0
-3.832198798627065e-05 2.3581563386652133e-05 2.0246648949785643e-09 0.0
4.498831951919307e-05 4.6773360787424137e-07 2.0241676678889435e-09 0.0
-4.49137024083726e-05 -2.5364074268154933e-06 2.023674026662659e-09 0.0
-4.405926087431979e-05 9.053477343760838e-06 2.0231839208053576e-09 0.0
4.496334016847059e-05 -9.976681663971879e-07 2.0226973008758433e-09 0.0
-3.482078585630028e-05 -2.845570225467556e-05 2.0222141184570695e-09 0.0
-2.3693896995810252e-05 -3.821431107949046e-05 2.0217343261281333e-09 0.0
4.4389254702313424e-05 7.131054929696553e-06 2.021257877437204e-09 0.0
-9.84028229907354e-06 4.3862895152394044e-05 2.0207847268753727e-09 0.0
1.3310974691608116e-05 4.2931722334548207e-05 2.020314829851377e-09 0.0
4.1055746950184524e-05 -1.8283155773267757e-05 2.01984814266716e-09 0.0
1.559353904061286e-05 -4.214529822747871e-05 2.019384622494238e-09 0.0
4.1574512876359904e-05 -1.704359429358243e-05 2.018924227350851e-09 0.0
3.142971445924836e-05 3.210358181091261e-05 2.0184669160798446e-09 0.0
3.308969686519965e-05 3.0382307511057706e-05 2.0180126483272768e-09 0.0
3.9422528774658096e-05 -2.152732239580593e-05 2.017561384521713e-09 0.0
1.2753278052370284e-05 -4.3063522670272904e-05 2.017113085854178e-09 0.0
4.170369785079777e-05 -1.665740975746576e-05 2.01666771425875e-09 0.0
8.573094663142572e-06 4.407638007244423e-05 2.016225232393762e-09 0.0
-1.3226537245517146e-05 4.290506166079413e-05 2.0157856036235986e-09 0.0
4.448174998312708e-05 6.059926603485253e-06 2.0153487920010544e-09 0.0
-2.7492028370612195e-05 -3.5483843342001416e-05 2.014914762250244e-09 0.0
-3.71325076735404e-05 -2.5212305599141443e-05 2.014483479750036e-09 0.0
4.487392501376219e-05 -6.210993296078063e-07 2.014054910517991e-09 0.0
-4.4626423763660795e-05 4.702267884858219e-06 2.013629021194798e-09 0.0
-4.4340352205978364e-05 -6.865780747952447e-06 2.0132057790291647e-09 0.0
4.4856998306907313e-05 7.967777339366513e-07 2.012785151863183e-09 0.0
-3.595784827048722e-05 2.682163782983303e-05 2.012367108118111e-09 0.0
-2.5595250359080013e-05 3.6835238235100506e-05 2.0119516167805957e-09 0.0
4.436591681831454e-05 -6.572980470051547e-06 2.011538647389284e-09 0.0
-1.1518196547709147e-05 -4.3341196549128505e-05 2.0111281700218477e-09 0.0
1.093018422936348e-05 -4.34885183467377e-05 2.010720155282368e-09 0.0
4.131076607969881e-05 1.742799989090834e-05 2.010314574289095e-09 0.0
1.4157465631424065e-05 4.253795441200258e-05 2.0099113986625633e-09 0.0
4.0470529084514024e-05 1.9278145038710206e-05 2.0095106005140425e-09 0.0
3.220625424709551e-05 -3.117481900197276e-05 2.009112152434319e-09 0.0
3.220024846557148e-05 -3.1174669625166165e-05 2.0087160274827963e-09 0.0
4.046220079735458e-05 1.9264799656665592e-05 2.0083221991769042e-09 0.0
1.4155307159051572e-05 4.251538451801541e-05 2.0079306414818015e-09 0.0
4.1281104779865326e-05 1.7418717431376827e-05 2.0075413288003708e-09 0.0
1.0928532265788396e-05 -4.344791615807493e-05 2.0071542359634863e-09 0.0
-1.1499922201242182e-05 -4.3295740293774034e-05 2.0067693382205513e-09 0.0
4.4308796974380584e-05 -6.5663629136241845e-06 2.006386611230297e-09 0.0
-2.555086882607688e-05 3.678531137946836e-05 2.0060060310518318e-09 0.0
-3.5893535317902694e-05 2.678211523607506e-05 2.005627574135932e-09 0.0
4.477295751661941e-05 7.959224406698595e-07 2.005251217316568e-09 0.0
-4.424739462724801e-05 -6.858936251580496e-06 2.004876937802661e-09 0.0
-4.452597897086914e-05 4.68421923651902e-06 2.0045047131700555e-09 0.0
4.4763281308837943e-05 -6.190055084932234e-07 2.0041345213537055e-09 0.0
-3.703743032028697e-05 -2.5139512642650045e-05 2.0037663406400743e-09 0.0
-2.7419626384382845e-05 -3.537745381737609e-05 2.003400149659722e-09 0.0
4.434589638834202e-05 6.0396523819283616e-06 2.003035927380099e-09 0.0
-1.3189215402043428e-05 4.276351540948218e-05 2.0026736530985193e-09 0.0
8.535349650502486e-06 4.392563161502613e-05 2.0023133064353156e-09 0.0
4.155236861927165e-05 -1.6593840105754455e-05 2.001954867327176e-09 0.0
1.26992169585448e-05 -4.289904666377163e-05 2.0015983160206476e-09 0.0
3.925873456306354e-05 -2.1447503201368825e-05 2.001243633065806e-09 0.0
3.295172527666924e-05 3.025020000927273e-05 2.0008907993100862e-09 0.0
3.128688162473622e-05 3.196358606433284e-05 2.0005397958922696e-09 0.0
